category,rise_probability,rank_up_probability,ranking_score,final_score
반려동물,0.4104368984699249,0.5273982286453247,0.5138272047042847,0.4806136965751648
먹방,0.4073185324668884,0.5064347982406616,0.555170476436615,0.46678829193115234
경제,0.4161253571510315,0.4890184700489044,0.5508912801742554,0.4598612248897552
브이로그,0.4394138753414154,0.4704713225364685,0.5875486135482788,0.45804834365844727
교육,0.346361368894577,0.4832688570022583,0.49577099084854126,0.4285058617591858
요리,0.36063775420188904,0.43982699513435364,0.6020304560661316,0.4081512987613678
운동,0.3411214053630829,0.40860864520072937,0.48684611916542053,0.38161374926567077
게임,0.2607424557209015,0.4512867331504822,0.4419163465499878,0.3750690221786499
뉴스시사,0.3586423695087433,0.339955598115921,0.5151207447052002,0.34743030667304997
뷰티,0.28327369689941406,0.3728715777397156,0.4368963837623596,0.33703242540359496
